Provinsi,Tahun,Produktivitas
Sulawesi Barat,1984,0
Maluku,1984,12.18
Maluku Utara,1984,0
Papua Barat,1984,0
Papua,1984,20.73
Aceh,1985,35.63
Sumatera Utara,1985,35.09
Sumatera Barat,1985,40.83
Riau,1985,23.95
Jambi,1985,27.21
Sumatera Selatan,1985,28.21
Bengkulu,1985,29.58
Lampung,1985,30.94
Kepulauan Bangka Belitung,1985,0
Kepulauan Riau,1985,0
Daerah Khusus Ibukota Jakarta,1985,36.03
Jawa Barat,1985,43.27
Jawa Tengah,1985,46.63
Daerah Istimewa Yogyakarta,1985,42.91
Jawa Timur,1985,48.34
Banten,1985,0
Bali,1985,45.69
Nusa Tenggara Barat,1985,37.47
Nusa Tenggara Timur,1985,22.08
Kalimantan Barat,1985,21.03
Kalimantan Tengah,1985,19.2
Kalimantan Selatan,1985,25.94
Kalimantan Timur,1985,19.46
Kalimantan Utara,1985,0
Sulawesi Utara,1985,36.99
Sulawesi Tengah,1985,25.83
Sulawesi Selatan,1985,39.43
Sulawesi Tenggara,1985,23.24
Gorontalo,1985,0
Sulawesi Barat,1985,0
Maluku,1985,13.13
Maluku Utara,1985,0
Papua Barat,1985,0
Papua,1985,19.84
Aceh,1986,35.89
Sumatera Utara,1986,35.5
Sumatera Barat,1986,41.04
Riau,1986,24.76
Jambi,1986,27.14
Sumatera Selatan,1986,29.21
Bengkulu,1986,31.15
Lampung,1986,33.18
Kepulauan Bangka Belitung,1986,0
Kepulauan Riau,1986,0
Daerah Khusus Ibukota Jakarta,1986,43.36
Jawa Barat,1986,43.65
Jawa Tengah,1986,46.69
Daerah Istimewa Yogyakarta,1986,43.15
Jawa Timur,1986,48.29
Banten,1986,0
Bali,1986,46.52
Nusa Tenggara Barat,1986,37.81
Nusa Tenggara Timur,1986,22.93
Kalimantan Barat,1986,21.13
Kalimantan Tengah,1986,18.87
Kalimantan Selatan,1986,26.15
Kalimantan Timur,1986,20.21
Kalimantan Utara,1986,0
Sulawesi Utara,1986,37.87
Sulawesi Tengah,1986,27.55
Sulawesi Selatan,1986,39.98
Sulawesi Tenggara,1986,25.33
Gorontalo,1986,0
Sulawesi Barat,1986,0
Maluku,1986,17.4
Maluku Utara,1986,0
Papua Barat,1986,0
Papua,1986,20.7
Aceh,1987,36.84
Sumatera Utara,1987,35.32
Sumatera Barat,1987,42.15
Riau,1987,24.29
Jambi,1987,28.46
Sumatera Selatan,1987,28.55
Bengkulu,1987,27.47
Lampung,1987,33.67
Kepulauan Bangka Belitung,1987,0
Kepulauan Riau,1987,0
Daerah Khusus Ibukota Jakarta,1987,42.91
Jawa Barat,1987,45.48
Jawa Tengah,1987,48.26
Daerah Istimewa Yogyakarta,1987,42.59
Jawa Timur,1987,49.36
Banten,1987,0
Bali,1987,47.59
Nusa Tenggara Barat,1987,38.87
Nusa Tenggara Timur,1987,22.85
Kalimantan Barat,1987,21.26
Kalimantan Tengah,1987,18.49
Kalimantan Selatan,1987,26.6
Kalimantan Timur,1987,20.17
Kalimantan Utara,1987,0
Sulawesi Utara,1987,35.16
Sulawesi Tengah,1987,28.99
Sulawesi Selatan,1987,39.03
Sulawesi Tenggara,1987,26.04
Gorontalo,1987,0
Sulawesi Barat,1987,0
Maluku,1987,17.8
Maluku Utara,1987,0
Papua Barat,1987,0
Papua,1987,19.51
Aceh,1988,37.43
Sumatera Utara,1988,36.9
Sumatera Barat,1988,43.29
Riau,1988,25.79
Jambi,1988,28.69
Sumatera Selatan,1988,28.9
Bengkulu,1988,28.49
Lampung,1988,34.26
Kepulauan Bangka Belitung,1988,0
Kepulauan Riau,1988,0
Daerah Khusus Ibukota Jakarta,1988,45.44
Jawa Barat,1988,46.67
Jawa Tengah,1988,48.91
Daerah Istimewa Yogyakarta,1988,43.49
Jawa Timur,1988,49.9
Banten,1988,0
Bali,1988,48.86
Nusa Tenggara Barat,1988,40.46
Nusa Tenggara Timur,1988,24.04
Kalimantan Barat,1988,21.54
Kalimantan Tengah,1988,18.59
Kalimantan Selatan,1988,27.5
Kalimantan Timur,1988,20.86
Kalimantan Utara,1988,0
Sulawesi Utara,1988,36.12
Sulawesi Tengah,1988,29.12
Sulawesi Selatan,1988,40.78
Sulawesi Tenggara,1988,26.24
Gorontalo,1988,0
Sulawesi Barat,1988,0
Maluku,1988,18.45
Maluku Utara,1988,0
Papua Barat,1988,0
Papua,1988,23.87
Aceh,1989,38.28
Sumatera Utara,1989,37.4
Sumatera Barat,1989,44.35
Riau,1989,28.07
Jambi,1989,28.68
Sumatera Selatan,1989,30.23
Bengkulu,1989,30.63
Lampung,1989,35.74
Kepulauan Bangka Belitung,1989,0
Kepulauan Riau,1989,0
Daerah Khusus Ibukota Jakarta,1989,46.72
Jawa Barat,1989,48.3
Jawa Tengah,1989,50.23
Daerah Istimewa Yogyakarta,1989,44.81
Jawa Timur,1989,51.06
Banten,1989,0
Bali,1989,50.08
Nusa Tenggara Barat,1989,41.5
Nusa Tenggara Timur,1989,24.74
Kalimantan Barat,1989,22.8
Kalimantan Tengah,1989,19.06
Kalimantan Selatan,1989,27.54
Kalimantan Timur,1989,21.05
Kalimantan Utara,1989,0
Sulawesi Utara,1989,38.72
Sulawesi Tengah,1989,29.64
Sulawesi Selatan,1989,42.04
Sulawesi Tenggara,1989,29.81
Gorontalo,1989,0
Sulawesi Barat,1989,0
Maluku,1989,18.83
Maluku Utara,1989,0
Papua Barat,1989,0
Papua,1989,24.39
Aceh,1990,39.13
Sumatera Utara,1990,38.39
Sumatera Barat,1990,45.28
Riau,1990,28.5
Jambi,1990,29.82
Sumatera Selatan,1990,30.87
Bengkulu,1990,31.58
Lampung,1990,36.99
Kepulauan Bangka Belitung,1990,0
Kepulauan Riau,1990,0
Daerah Khusus Ibukota Jakarta,1990,47.45
Jawa Barat,1990,48.82
Jawa Tengah,1990,50.69
Daerah Istimewa Yogyakarta,1990,45.8
Jawa Timur,1990,51.81
Banten,1990,0
Bali,1990,50.9
Nusa Tenggara Barat,1990,42.55
Nusa Tenggara Timur,1990,24.88
Kalimantan Barat,1990,22.93
Kalimantan Tengah,1990,19.6
Kalimantan Selatan,1990,27.67
Kalimantan Timur,1990,21.36
Kalimantan Utara,1990,0
Sulawesi Utara,1990,38.69
Sulawesi Tengah,1990,30.3
Sulawesi Selatan,1990,42.57
Sulawesi Tenggara,1990,29.98
Gorontalo,1990,0
Sulawesi Barat,1990,0
Maluku,1990,20.45
Maluku Utara,1990,0
Papua Barat,1990,0
Papua,1990,24.67
Aceh,1991,39.93
Sumatera Utara,1991,38.29
Sumatera Barat,1991,45.57
Riau,1991,29.48
Jambi,1991,29.62
Sumatera Selatan,1991,31.89
Bengkulu,1991,31.89
Lampung,1991,37.54
Kepulauan Bangka Belitung,1991,0
Kepulauan Riau,1991,0
Daerah Khusus Ibukota Jakarta,1991,47.57
Jawa Barat,1991,49.75
Jawa Tengah,1991,51.31
Daerah Istimewa Yogyakarta,1991,46.46
Jawa Timur,1991,52.41
Banten,1991,0
Bali,1991,51.94
Nusa Tenggara Barat,1991,43.52
Nusa Tenggara Timur,1991,25.9
Kalimantan Barat,1991,22.86
Kalimantan Tengah,1991,20.84
Kalimantan Selatan,1991,28.33
Kalimantan Timur,1991,22.21
Kalimantan Utara,1991,0
Sulawesi Utara,1991,39.57
Sulawesi Tengah,1991,31.19
Sulawesi Selatan,1991,43.09
Sulawesi Tenggara,1991,30.46
Gorontalo,1991,0
Sulawesi Barat,1991,0
Maluku,1991,22.83
Maluku Utara,1991,0
Papua Barat,1991,0
Papua,1991,25.96
Aceh,1992,39.95
Sumatera Utara,1992,38.47
Sumatera Barat,1992,45.73
Riau,1992,28.62
Jambi,1992,30.26
Sumatera Selatan,1992,31.39
Bengkulu,1992,32.94
Lampung,1992,37.48
Kepulauan Bangka Belitung,1992,0
Kepulauan Riau,1992,0
Daerah Khusus Ibukota Jakarta,1992,47.85
Jawa Barat,1992,49.7
Jawa Tengah,1992,51.44
Daerah Istimewa Yogyakarta,1992,46.48
Jawa Timur,1992,52.42
Banten,1992,0
Bali,1992,52.18
Nusa Tenggara Barat,1992,43.66
Nusa Tenggara Timur,1992,25.78
Kalimantan Barat,1992,23.03
Kalimantan Tengah,1992,21
Kalimantan Selatan,1992,28.91
Kalimantan Timur,1992,22.82
Kalimantan Utara,1992,0
Sulawesi Utara,1992,39.25
Sulawesi Tengah,1992,31.46
Sulawesi Selatan,1992,43.25
Sulawesi Tenggara,1992,30.08
Gorontalo,1992,0
Sulawesi Barat,1992,0
Maluku,1992,20.78
Maluku Utara,1992,0
Papua Barat,1992,0
Papua,1992,25.72
Aceh,1993,40.17
Sumatera Utara,1993,38.67
Sumatera Barat,1993,45.8
Riau,1993,29.86
Jambi,1993,30.46
Sumatera Selatan,1993,32.04
Bengkulu,1993,32.49
Lampung,1993,38.03
Kepulauan Bangka Belitung,1993,0
Kepulauan Riau,1993,0
Daerah Khusus Ibukota Jakarta,1993,47.92
Jawa Barat,1993,50.27
Jawa Tengah,1993,51.72
Daerah Istimewa Yogyakarta,1993,47.21
Jawa Timur,1993,52.64
Banten,1993,0
Bali,1993,52.32
Nusa Tenggara Barat,1993,43.65
Nusa Tenggara Timur,1993,26.6
Kalimantan Barat,1993,23.31
Kalimantan Tengah,1993,20.67
Kalimantan Selatan,1993,28.77
Kalimantan Timur,1993,23.12
Kalimantan Utara,1993,0
Sulawesi Utara,1993,40.11
Sulawesi Tengah,1993,31.8
Sulawesi Selatan,1993,43.36
Sulawesi Tenggara,1993,29.8
Gorontalo,1993,0
Sulawesi Barat,1993,0
Maluku,1993,25.15
Maluku Utara,1993,0
Papua Barat,1993,0
Papua,1993,25.13
Aceh,1994,40.41
Sumatera Utara,1994,38.86
Sumatera Barat,1994,45.66
Riau,1994,30.47
Jambi,1994,30.69
Sumatera Selatan,1994,31.93
Bengkulu,1994,31.91
Lampung,1994,37.93
Kepulauan Bangka Belitung,1994,0
Kepulauan Riau,1994,0
Daerah Khusus Ibukota Jakarta,1994,47.81
Jawa Barat,1994,50.3
Jawa Tengah,1994,51.54
Daerah Istimewa Yogyakarta,1994,47.36
Jawa Timur,1994,52.6
Banten,1994,0
Bali,1994,52.45
Nusa Tenggara Barat,1994,43.81
Nusa Tenggara Timur,1994,25.99
Kalimantan Barat,1994,23.34
Kalimantan Tengah,1994,20.04
Kalimantan Selatan,1994,28.77
Kalimantan Timur,1994,23.23
Kalimantan Utara,1994,0
Sulawesi Utara,1994,40.23
Sulawesi Tengah,1994,32.41
Sulawesi Selatan,1994,43.61
Sulawesi Tenggara,1994,30.66
Gorontalo,1994,0
Sulawesi Barat,1994,0
Maluku,1994,24.64
Maluku Utara,1994,0
Papua Barat,1994,0
Papua,1994,25.86
Aceh,1995,40.33
Sumatera Utara,1995,39.42
Sumatera Barat,1995,45.66
Riau,1995,30.14
Jambi,1995,30.65
Sumatera Selatan,1995,31.64
Bengkulu,1995,32.55
Lampung,1995,37.79
Kepulauan Bangka Belitung,1995,0
Kepulauan Riau,1995,0
Daerah Khusus Ibukota Jakarta,1995,48.2
Jawa Barat,1995,50.44
Jawa Tengah,1995,51.66
Daerah Istimewa Yogyakarta,1995,47.44
Jawa Timur,1995,52.68
Banten,1995,0
Bali,1995,52.69
Nusa Tenggara Barat,1995,43.72
Nusa Tenggara Timur,1995,26.27
Kalimantan Barat,1995,23.64
Kalimantan Tengah,1995,20.51
Kalimantan Selatan,1995,29.96
Kalimantan Timur,1995,23.78
Kalimantan Utara,1995,0
Sulawesi Utara,1995,40.17
Sulawesi Tengah,1995,32.55
Sulawesi Selatan,1995,43.83
Sulawesi Tenggara,1995,31.65
Gorontalo,1995,0
Sulawesi Barat,1995,0
Maluku,1995,23.65
Maluku Utara,1995,0
Papua Barat,1995,0
Papua,1995,25.21
Aceh,1996,40.75
Sumatera Utara,1996,39.7
Sumatera Barat,1996,45.8
Riau,1996,30.72
Jambi,1996,30.45
